FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
81271.txt,https://www.telegram.dog,23,www.telegram.dog,16,0,dog,100.0,1.0,1.99e-05,0.064314501,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,285,3596,1,telegram,100.0,100.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,2,46,1,3,1
oph02804.txt,https://pseudographeme.live/,28,pseudographeme.live,19,0,live,48.53185596,1.0,0.0003718,0.055700614,4,0,0,0,0.0,18,0.643,0,0.0,0,0,0,2,0.071,1,118,1694,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8134533.txt,https://dhlexpress.997967.saudediaria.club/verfolgung/4396576?page=007,70,dhlexpress.997967.saudediaria.club,34,0,club,18.20524255,0.620689655,0.0006227,0.036826403,4,2,0,0,0.0,39,0.557,16,0.229,1,1,0,5,0.1,1,17,78,1,dhlexpress997967saudediariaverfolgung4396576?page=007,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8114148.txt,https://pictoralsefarilogistics.firebaseapp.com/,48,pictoralsefarilogistics.firebaseapp.com,39,0,com,47.85667324,0.685714286,0.5229071,0.061041007,3,1,0,0,0.0,37,0.771,0,0.0,0,0,0,3,0.062,1,26,122,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
245328.txt,https://www.holsten-galerie.de,29,www.holsten-galerie.de,22,0,de,100.0,0.533333333,0.0326503,0.060942864,2,1,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,1,700,7559,1,holsten-galerie,100.0,100.0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,43,3,7,67,0,47,1
8001676.txt,https://attnet-109962.weeblysite.com/,36,attnet-109962.weeblysite.com,28,0,com,41.80154821,0.708333333,0.5229071,0.046862788,3,1,0,0,0.0,19,0.528,6,0.167,0,0,0,3,0.083,1,68,80,1,attnet-109962weeblysite,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8029352.txt,https://att-101673-104801.square.site/,37,att-101673-104801.square.site,29,0,site,61.00673801,0.541666667,0.0017656,0.031815999,4,1,0,0,0.0,13,0.351,12,0.324,0,0,0,4,0.108,1,68,80,1,att-101673-104801square,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mw26416.txt,http://www.mail.secured-auth.cf,30,www.mail.secured-auth.cf,24,0,cf,54.35992579,0.470588235,0.0001858,0.059133408,2,2,0,0,0.0,16,0.533,0,0.0,0,0,0,3,0.1,0,20,213,1,mailseured-auth,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523694.txt,https://www.alvarae.com,22,www.alvarae.com,15,0,com,100.0,1.0,0.5229071,0.069468093,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,4570,18790,1,alvarae,100.0,100.0,0,0,1,0,0,1,0,19,0,1,1,1,1,1,1,0,0,128,3,26,127,6,27,1
oph12277.txt,https://ebaiy.vip/,18,ebaiy.vip,9,0,vip,77.28395062,1.0,0.0001067,0.046233603,3,0,0,0,0.0,8,0.444,0,0.0,0,0,0,2,0.111,1,90,14437,1,ebaiy,100.0,100.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0
812400.txt,https://www.theanchor.ca,23,www.theanchor.ca,16,0,ca,100.0,1.0,0.0101825,0.064149804,2,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,4294,24126,1,theanhor,0.0,0.0,0,1,1,0,0,1,2,10,1,1,1,0,0,0,1,0,1,33,14,13,94,0,121,1
oph05373.txt,https://www.perfectbs.co.in/ato/mygov/index2.html,49,www.perfectbs.co.in,19,0,in,35.78870478,0.833333333,0.0050842,0.053835459,2,2,0,0,0.0,30,0.612,1,0.02,0,0,0,6,0.122,1,110,226,1,perfectbscoatomygovdex2html,0.0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,2,0
mw1043.txt,http://www.trredfcjrottrdtwwq.net,32,www.trredfcjrottrdtwwq.net,26,0,net,38.13646671,1.0,0.0384199,0.049225186,3,1,0,0,0.0,20,0.625,0,0.0,0,0,0,1,0.031,0,2,40,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw5314.txt,http://www.apjgtipty.com,23,www.apjgtipty.com,17,0,com,68.5545224,1.0,0.5229071,0.047958192,3,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,3,31,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110705.txt,https://www.lbi.org,18,www.lbi.org,11,0,org,100.0,1.0,0.0799628,0.058688099,3,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,1,1808,323,1,lbi,100.0,100.0,1,0,1,0,0,0,0,2,0,1,1,0,0,0,1,0,1,27,2,5,74,1,6,1
740142.txt,https://www.lomarecords.com,26,www.lomarecords.com,19,0,com,100.0,1.0,0.5229071,0.072187112,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,353,420,1,lomarerds,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,44,3,4,99,0,100,1
170188.txt,https://www.lowimpact.org,24,www.lowimpact.org,17,0,org,100.0,1.0,0.0799628,0.061817112,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,765,1363,1,lowimpact,100.0,100.0,1,1,1,0,0,1,4,0,0,1,0,0,0,1,0,0,1,29,1,3,82,0,83,1
582552.txt,https://www.sara.cz,18,www.sara.cz,11,0,cz,100.0,1.0,0.0036307,0.070716565,2,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,1,2425,556,1,sara,100.0,100.0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,65,1,4,107,2,72,1
mw130309.txt,http://www.yt-shapatak.cf,25,www.yt-shapatak.cf,18,0,cf,51.37867647,0.818181818,0.0001858,0.04801755,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,2,0.08,0,20,212,1,yt-shapatak,100.0,100.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6692.txt,https://www.bankrate.com,23,www.bankrate.com,16,0,com,100.0,1.0,0.5229071,0.064130361,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,6416,23189,1,bankrate,100.0,100.0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,35,2,12,409,0,72,1
8097086.txt,https://7pcb-dot-inlaid-micron-380216.uk.r.appspot.com,54,7pcb-dot-inlaid-micron-380216.uk.r.appspot.com,46,0,com,18.34069138,0.333333333,0.5229071,0.047166727,3,3,0,0,0.0,31,0.574,7,0.13,0,0,0,8,0.148,1,3,52813,0,0,2.380952381,2.380952381,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0
8081527.txt,https://sr-6k-ahg.firebaseapp.com/,34,sr-6k-ahg.firebaseapp.com,25,0,com,68.28840675,0.619047619,0.5229071,0.053121072,3,1,0,0,0.0,20,0.588,1,0.029,0,0,0,5,0.147,1,108,8125,1,sr-6k-ahgfirebaseapp,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
565977.txt,https://www.gilesandgiles.com,28,www.gilesandgiles.com,21,0,com,100.0,1.0,0.5229071,0.06023829,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,516,1387,1,gilesandgiles,100.0,100.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,12,2,8,11,0,21,1
393902.txt,https://www.wineswithattitude.co.uk,34,www.wineswithattitude.co.uk,27,0,uk,100.0,0.9,0.028555,0.05492664,2,2,0,0,0.0,20,0.588,0,0.0,0,0,0,2,0.059,1,672,2611,1,wineswithattitdeco,0.0,0.0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,7,1,9,42,0,17,1
415135.txt,https://www.aliq.ge,18,www.aliq.ge,11,0,ge,100.0,1.0,0.0001883,0.043485465,2,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,1,1002,3815,1,aliq,100.0,100.0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,37,10,18,146,2,154,1
241728.txt,https://www.healthy-liv.com,26,www.healthy-liv.com,19,0,com,100.0,0.727272727,0.5229071,0.051876499,3,1,0,0,0.0,12,0.462,0,0.0,0,0,0,2,0.077,1,547,8047,1,healthy-liv,100.0,100.0,0,1,1,0,0,1,0,3,1,1,1,1,0,0,0,0,1,11,11,17,44,0,48,1
480740.txt,https://www.kilt.io,18,www.kilt.io,11,0,io,100.0,1.0,0.0129268,0.04809248,2,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,1,408,723,1,klt,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,18,1,6,69,0,13,1
753355.txt,https://www.cimcor.com,21,www.cimcor.com,14,0,com,100.0,1.0,0.5229071,0.076292845,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,4602,34368,1,cimr,0.0,0.0,1,0,1,1,0,1,1,17,0,1,1,1,0,0,1,0,1,14,9,16,106,0,114,1
5695650.txt,http://bicicentroslezama.com/ejercicio/2050x/myaccount_done.htm,62,bicicentroslezama.com,21,0,com,20.11166309,1.0,0.5229071,0.057108349,3,0,0,0,0.0,45,0.726,4,0.065,0,0,0,6,0.097,0,14,221,0,0,0.0,2.040816327,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
82820.txt,https://www.canjurol.com,23,www.canjurol.com,16,0,com,100.0,1.0,0.5229071,0.063203493,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,1040,6688,1,canjurol,100.0,100.0,0,0,1,0,0,1,0,2,0,1,1,1,0,0,0,0,1,21,13,9,68,4,18,1
177658.txt,https://www.dc3.mil,18,www.dc3.mil,11,0,mil,100.0,1.0,0.0002984,0.045819018,3,1,0,0,0.0,4,0.222,1,0.056,0,0,0,1,0.056,1,2445,5977,1,dc3,100.0,100.0,1,1,1,1,0,0,1,4,0,1,1,1,0,0,0,0,0,67,8,9,59,3,98,1
161743.txt,https://www.migrateful.org,25,www.migrateful.org,18,0,org,100.0,1.0,0.0799628,0.057954266,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1520,9381,1,migrateful,100.0,100.0,0,1,1,0,0,0,0,3,1,1,1,1,0,0,1,0,1,38,39,61,66,0,126,1
mw30640.txt,http://www.service-session-continue.info,39,www.service-session-continue.info,33,0,info,47.91520056,0.375,0.0075051,0.063566094,4,1,0,0,0.0,25,0.641,0,0.0,0,0,0,3,0.077,0,2,48,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8107355.txt,https://viewsnet-update.9buyer.cn/,34,viewsnet-update.9buyer.cn,25,0,cn,39.09708525,0.454545455,0.0033218,0.049840835,2,1,0,0,0.0,21,0.618,1,0.029,0,0,0,4,0.118,1,2,42,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8060542.txt,https://aol-107896.weeblysite.com/,34,aol-107896.weeblysite.com,25,0,com,66.72,0.80952381,0.5229071,0.045597764,3,1,0,0,0.0,16,0.471,6,0.176,0,0,0,4,0.118,1,271,20506,1,aol-107896weeblysite,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,19,3,9,1,0,4,0
mw30645.txt,http://www.session-manager.info,30,www.session-manager.info,24,0,info,58.67036011,0.533333333,0.0075051,0.063379883,4,1,0,0,0.0,17,0.567,0,0.0,0,0,0,2,0.067,0,2,39,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29261.txt,https://www.freitag.de,21,www.freitag.de,14,0,de,100.0,1.0,0.0326503,0.053081304,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,3991,8005,1,freitag,100.0,100.0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,72,2,3,258,0,269,1
868621.txt,https://www.hisense-europe.com,29,www.hisense-europe.com,22,0,com,100.0,0.571428571,0.5229071,0.067374006,3,1,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,1,456,574,1,hisense-europe,100.0,100.0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,13,2,5,7,0,37,1
8045507.txt,https://coinbize-login.com/,27,coinbize-login.com,18,0,com,77.90773229,0.642857143,0.5229071,0.06299272,3,0,0,0,0.0,16,0.593,0,0.0,0,0,0,3,0.111,1,42,100,1,coinbize-login,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8116707.txt,https://xionos00001.firebaseapp.com/,36,xionos00001.firebaseapp.com,27,0,com,40.62316285,0.739130435,0.5229071,0.049644116,3,1,0,0,0.0,20,0.556,5,0.139,0,0,0,3,0.083,1,14,557716,1,xionos00001firebaseapp,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mw129857.txt,http://www.edalatiran.cf,23,www.edalatiran.cf,17,0,cf,59.72789116,1.0,0.0001858,0.065268931,2,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,8,49,1,edalatiran,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383283.txt,https://www.beercanada.com,25,www.beercanada.com,18,0,com,100.0,1.0,0.5229071,0.070358659,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,1366,839,1,beercanada,100.0,100.0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,25,2,3,99,12,26,1
8090657.txt,https://aol-mail-101949.weeblysite.com/,39,aol-mail-101949.weeblysite.com,30,0,com,40.86021505,0.653846154,0.5229071,0.04824448,3,1,0,0,0.0,20,0.513,6,0.154,0,0,0,5,0.128,1,273,20518,1,aol-mail-101949weeblysite,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,19,3,9,1,0,4,0
mw39995.txt,http://www.update.firefoxupdata.com,34,www.update.firefoxupdata.com,28,0,com,48.55072464,0.7,0.5229071,0.054469474,3,2,0,0,0.0,21,0.618,0,0.0,0,0,0,2,0.059,0,2,43,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw156697.txt,http://www.lazovick.biz,22,www.lazovick.biz,16,0,biz,75.75757576,1.0,0.0017975,0.048077413,3,1,0,0,0.0,10,0.455,0,0.0,0,0,0,1,0.045,0,2,2826,1,lazovick,100.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
865485.txt,https://www.firstadventistchurch.org,35,www.firstadventistchurch.org,28,0,org,100.0,1.0,0.0799628,0.05460411,3,1,0,0,0.0,22,0.629,0,0.0,0,0,0,1,0.029,1,576,5234,1,firstadventistchurch,100.0,100.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,11,4,6,22,0,10,1
501444.txt,https://www.devaillant.nl,24,www.devaillant.nl,17,0,nl,100.0,1.0,0.0082003,0.055716717,2,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,392,1075,1,devaillat,0.0,0.0,1,0,1,0,0,1,0,3,0,1,1,1,0,0,0,0,1,14,4,7,30,1,33,1
750243.txt,https://www.dragonschool.org,27,www.dragonschool.org,20,0,org,100.0,1.0,0.0799628,0.066170511,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,1032,9381,1,dragonschool,100.0,100.0,0,1,1,0,0,1,0,3,0,1,0,0,0,0,1,0,1,21,14,14,77,0,26,1
mw49793.txt,http://www.vuryza.ga,19,www.vuryza.ga,13,0,ga,59.01234568,1.0,0.0002256,0.033306368,2,1,0,0,0.0,7,0.368,0,0.0,0,0,0,1,0.053,0,20,207,1,vuryza,100.0,100.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900146.txt,https://www.thedyepreserve.com,29,www.thedyepreserve.com,22,0,com,100.0,1.0,0.5229071,0.060077384,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,358,1782,1,thedyepreserve,100.0,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,2,14,51,0,45,1
745784.txt,https://www.economiademallorca.com,33,www.economiademallorca.com,26,0,com,100.0,1.0,0.5229071,0.073697533,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,3032,12346,1,enomiademallorca,0.0,0.0,0,1,1,1,1,1,0,3,0,1,1,1,0,0,0,0,0,100,4,10,265,10,34,1
oph04049.txt,https://www.login.login.login.verifyyahoomail.com/login.php?https://login.yahoo.com/?.src=ym&.intl=us&.lang=en-us,113,www.login.login.login.verifyyahoomail.com,41,0,com,13.12118238,0.484848485,0.5229071,0.057359977,3,4,0,0,0.0,73,0.646,0,0.0,3,2,0,15,0.177,1,193,1669,1,loginloginloginverifyyahoomailloginphp?loginyahoo?src=ym&intl=us&lang=en-us,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,2,0,0,6,0
46675.txt,https://www.cram.com,19,www.cram.com,12,0,com,100.0,1.0,0.5229071,0.075562868,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,1272,5389,1,cram,100.0,100.0,1,0,1,0,0,1,0,2,0,1,1,0,0,0,0,0,1,9,5,14,785,0,9,1
101492.txt,https://www.brianmac.co.uk,25,www.brianmac.co.uk,18,0,uk,100.0,0.818181818,0.028555,0.064582879,2,2,0,0,0.0,11,0.44,0,0.0,0,0,0,2,0.08,1,733,843,1,brianmacco,0.0,0.0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,2,13,1,0,3,1
545655.txt,https://www.themouldingcompany.com,33,www.themouldingcompany.com,26,0,com,100.0,1.0,0.5229071,0.058814539,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,3608,27555,1,themouldingmpany,0.0,0.0,1,1,1,0,0,1,0,13,1,1,0,1,0,0,1,0,1,48,21,32,48,1,99,1
592727.txt,https://www.inventum.bg,22,www.inventum.bg,15,0,bg,100.0,1.0,0.0003954,0.050036841,2,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,1357,5195,1,inventum,100.0,100.0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,29,19,52,79,2,85,1
530510.txt,https://www.rangekleen.com,25,www.rangekleen.com,18,0,com,100.0,1.0,0.5229071,0.065809341,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,4625,34277,1,rangekleen,100.0,100.0,0,0,1,0,0,1,0,19,0,1,1,1,1,1,1,0,1,180,2,21,238,15,61,1
mw65538.txt,http://www.ddchat.cannca.shop,28,www.ddchat.cannca.shop,22,0,shop,47.70083102,0.538461538,0.0004041,0.059946807,4,2,0,0,0.0,15,0.536,0,0.0,0,0,0,2,0.071,0,8,41,1,ddchatcannca,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103027.txt,https://www.suganthan.com,24,www.suganthan.com,17,0,com,100.0,1.0,0.5229071,0.058910715,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,2175,9381,1,suganthan,100.0,100.0,1,1,1,0,0,1,0,6,0,1,1,1,0,0,0,0,0,151,3,8,53,0,61,1
522716.txt,https://www.celebrityhealthfitness.com,37,www.celebrityhealthfitness.com,30,0,com,100.0,1.0,0.5229071,0.058120888,3,1,0,0,0.0,24,0.649,0,0.0,0,0,0,1,0.027,1,1967,19847,1,celebrityhealthfitness,100.0,100.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,52,12,14,130,1,134,1
17608.txt,https://www.15min.lt,19,www.15min.lt,12,0,lt,100.0,1.0,0.0005524,0.038077317,2,1,0,0,0.0,4,0.211,2,0.105,0,0,0,1,0.053,1,12912,59566,1,15min,100.0,100.0,1,1,1,0,0,1,1,15,1,1,0,1,0,0,1,0,1,252,11,142,834,3,414,1
8117619.txt,https://kureshnameshindex.web.app/,34,kureshnameshindex.web.app,25,0,app,41.45230769,0.857142857,0.001502,0.049896868,3,1,0,0,0.0,23,0.676,0,0.0,0,0,0,3,0.088,1,26,138,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
555282.txt,https://www.theparisapartment.com,32,www.theparisapartment.com,25,0,com,100.0,1.0,0.5229071,0.063166903,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,1842,10875,1,theparisapartment,100.0,100.0,0,0,1,0,0,1,0,2,0,1,1,1,0,0,0,0,1,14,3,11,23,0,45,1
47221.txt,https://www.animate-onlineshop.jp,32,www.animate-onlineshop.jp,25,0,jp,100.0,0.611111111,0.0230451,0.061995018,2,1,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,1,2504,972,1,animate-onlineshop,100.0,100.0,0,0,0,0,0,1,0,4,0,0,1,1,0,0,1,0,1,131,10,31,387,1,249,1
19170.txt,https://www.npg.org.uk,21,www.npg.org.uk,14,0,uk,100.0,0.571428571,0.028555,0.047912571,2,2,0,0,0.0,7,0.333,0,0.0,0,0,0,2,0.095,1,1066,2256,1,npgorg,0.0,0.0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,40,10,19,81,2,24,1
